iter	RMSE
0	42.01036844
1	41.69757399
2	41.37471127
3	41.08517159
4	40.78745005
5	40.52152122
6	40.25517038
7	40.02140306
8	39.8547995
9	39.67940838
10	39.48521832
11	39.29262939
12	39.16628279
13	38.98903034
14	38.81562145
15	38.65060578
16	38.48041056
17	38.33276002
18	38.20552717
19	38.08388469
20	37.97757504
21	37.87133448
22	37.76040815
23	37.66280346
24	37.57036773
25	37.50787658
26	37.44748106
27	37.35127218
28	37.24566371
29	37.16373935
30	37.08659874
31	37.02050685
32	36.95687426
33	36.92329306
34	36.85227052
35	36.81632428
36	36.77373281
37	36.75096671
38	36.6938074
39	36.64719411
40	36.60096063
41	36.54543282
42	36.48304537
43	36.42441221
44	36.37765445
45	36.35256046
46	36.30212244
47	36.28705019
48	36.26577554
49	36.21580856
50	36.18202616
51	36.16793234
52	36.13318943
53	36.11981411
54	36.07918344
55	36.04009453
56	36.00092078
57	35.96533673
58	35.94497543
59	35.90604881
60	35.87500528
61	35.83102211
62	35.82335405
63	35.79016586
64	35.7780389
65	35.74518598
66	35.73837567
67	35.70723729
68	35.70193089
69	35.66126785
70	35.62684385
71	35.60228897
72	35.57549106
73	35.54986808
74	35.52753359
75	35.49927553
76	35.48341379
77	35.47520088
78	35.4537154
79	35.42548828
80	35.40642584
81	35.38350527
82	35.3604935
83	35.33123071
84	35.32470819
85	35.3016139
86	35.28170908
87	35.28011159
88	35.26226847
89	35.23745432
90	35.23427153
91	35.22079897
92	35.18956501
93	35.17945644
94	35.15926235
95	35.15637663
96	35.13658757
97	35.11319292
98	35.09360367
99	35.08264093
100	35.06581293
101	35.04445858
102	35.04189192
103	35.03816832
104	35.01997214
105	35.00530478
106	34.99040473
107	34.98827114
108	34.97466678
109	34.94991715
110	34.94842701
111	34.94029224
112	34.92902778
113	34.92817686
114	34.92223439
115	34.90374414
116	34.89387224
117	34.88073477
118	34.86961986
119	34.86513425
120	34.8396882
121	34.81537327
122	34.81528493
123	34.80347658
124	34.78957103
125	34.77124326
126	34.76379191
127	34.74743182
128	34.73054326
129	34.71574942
130	34.70435163
131	34.69039417
132	34.67013551
133	34.66851904
134	34.6683204
135	34.65269792
136	34.64420189
137	34.63274955
138	34.63180391
139	34.61639364
140	34.60532151
141	34.58700371
142	34.58391411
143	34.56684634
144	34.55860924
145	34.55204475
146	34.54033572
147	34.53915262
148	34.52371465
149	34.51319043
150	34.49429352
151	34.48351361
152	34.46649669
153	34.44775196
154	34.43031779
155	34.42443673
156	34.42141797
157	34.41466988
158	34.40418512
159	34.39007227
160	34.38371716
161	34.3691808
162	34.35888133
163	34.34287153
164	34.33553323
165	34.32434822
166	34.31382524
167	34.30727833
168	34.29868227
169	34.28385288
170	34.27304573
171	34.26027031
172	34.25269981
173	34.2390024
174	34.22652915
175	34.21374176
176	34.20183522
177	34.19143659
178	34.19126703
179	34.18235136
180	34.17624464
181	34.16614457
182	34.15547725
183	34.14524813
184	34.13393462
185	34.11942991
186	34.11317899
187	34.10857209
188	34.10354928
189	34.09235947
190	34.0769408
191	34.06768121
192	34.06763776
193	34.05471232
194	34.04487323
195	34.03775665
196	34.0307077
197	34.02509533
198	34.0145052
199	34.0056097
200	34.00084792
201	33.99735726
202	33.98495461
203	33.97116108
204	33.96394222
205	33.95199023
206	33.9457725
207	33.93768405
208	33.93171752
209	33.92356055
210	33.91826254
211	33.90975446
212	33.89660501
213	33.89117964
214	33.883012
215	33.87344966
216	33.86107738
217	33.8526127
218	33.84598841
219	33.83709027
220	33.83003239
221	33.81842718
222	33.80909576
223	33.80245748
224	33.79390858
225	33.78900379
226	33.78234133
